Tesla,Ford,Tesla_Log_Return,Ford_Log_Return,Tesla_MA_5,Tesla_MA_50,Tesla_Volatility,polarity,date,Tesla_Bollinger_Upper_5,Tesla_Bollinger_Lower_5,Tesla_Bollinger_Upper_50,Tesla_Bollinger_Lower_50,Tesla_RSI_5,Tesla_RSI_50,Tesla_MACD,Tesla_Log_Return_Lag1,Tesla_Log_Return_Lag5,Tesla_Direction,Tesla_MA_100,Tesla_MA_200
171.88999938964844,12.140890121459961,0.020097034145307512,0.027962362549785978,172.9720001220703,171.21239990234375,0.024489049046297846,0.493,2024-05-13,179.96517168637803,165.9788285577626,192.19435537954294,150.23044442514455,17.351596406015574,43.89566108104696,1.2214301643587362,-0.020562350450525728,0.019511437908750914,1,,
177.5500030517578,12.249201774597168,0.03239754278801776,0.008881669294483476,172.9200012207031,171.00059997558594,0.022499519662333985,0.44,2024-05-14,179.73489819186454,166.10510424954168,191.49320433693276,150.50799561423912,49.294260226164766,47.821257651054644,1.4521509276262634,0.020097034145307512,-0.03834210509362018,1,,
173.99000549316406,12.121196746826172,-0.020254418706909572,-0.010505056356418465,172.7740020751953,170.86559997558595,0.022666993407319553,0.665,2024-05-15,179.42540426707822,166.1225998833124,191.18452246432938,150.54667748684253,48.06777196631596,48.58898802836875,1.332377920638919,0.03239754278801776,-0.017530851194269642,0,,
174.83999633789062,12.190122604370117,0.004873391179277019,0.0056702839713627185,173.3480010986328,170.8316000366211,0.0227983793422294,0.817,2024-05-16,180.14621348448208,166.54978871278354,191.11742955989155,150.54577051335065,58.44613527611329,49.63958682482822,1.2911604136539268,-0.020254418706909572,-0.015864649448707812,1,,
177.4600067138672,12.091656684875488,0.01487402019069651,-0.008110316633370867,175.14600219726563,170.80780029296875,0.023328792041309183,0.758,2024-05-17,179.95904273941022,170.33296165512104,191.05895283133506,150.55664775460244,77.90194026245874,49.74825744128175,1.4531570930039663,0.004873391179277019,-0.020562350450525728,1,,
174.9499969482422,11.96364974975586,-0.014245067870223688,-0.01064281959906229,175.75800170898438,170.8000003051758,0.02227588370912263,0.0,2024-05-20,179.03359417799533,172.48240923997344,191.04432708824265,150.55567352210892,60.06577335897878,49.91721517001321,1.363288674233985,0.01487402019069651,0.020097034145307512,0,,
186.60000610351562,11.96364974975586,0.06446711975223302,0.0,177.56800231933593,170.97660034179688,0.02831696725470833,0.883,2024-05-21,187.9932977805787,167.14270685809316,191.61923750087576,150.333963182718,71.354401822124,51.803734235407724,2.20668835084075,-0.014245067870223688,0.03239754278801776,1,,
180.11000061035156,11.845490455627441,-0.035399542384592614,-0.009925622107762315,178.79200134277343,171.02800048828124,0.03037353151891418,0.821,2024-05-22,188.53138589369655,169.0526167918503,191.7499892403841,150.30601173617836,62.68654355898857,50.511892408134834,2.324602891737925,0.06446711975223302,-0.020254418706909572,0,,
173.74000549316406,11.924263954162598,-0.036007818288810785,0.006628069063067932,178.57200317382814,171.11320068359376,0.03236882279445849,0.972,2024-05-23,188.79540446522404,168.34860188243223,191.8442396571559,150.38216171003162,48.1444167766201,50.85425710010337,1.882347119369058,-0.035399542384592614,0.004873391179277019,0,,
179.24000549316406,11.97349739074707,0.03116576011599187,0.004120344623738506,178.9280029296875,171.44800079345703,0.03266775944459475,0.972,2024-05-24,189.08152181752772,168.77448404184727,192.15195662572435,150.7440449611897,52.73677384723953,53.37690700210634,1.9531456211385319,-0.036007818288810785,0.01487402019069651,1,,
